iter	Passed	Remaining
0	3	3901
1	7	3709
2	10	3548
3	14	3543
4	17	3480
5	20	3464
6	24	3441
7	27	3449
8	31	3427
9	34	3432
10	38	3463
11	41	3450
12	45	3423
13	48	3439
14	52	3441
15	55	3442
16	59	3451
17	63	3464
18	66	3432
19	70	3437
20	73	3414
21	77	3432
22	80	3416
23	84	3420
24	87	3410
25	90	3407
26	94	3396
27	97	3401
28	101	3403
29	105	3405
30	108	3399
31	112	3390
32	115	3381
33	119	3389
34	122	3383
35	126	3380
36	129	3366
37	133	3368
38	136	3364
39	139	3357
40	142	3343
41	146	3344
42	149	3337
43	153	3344
44	157	3337
45	161	3341
46	164	3334
47	168	3332
48	171	3328
49	175	3329
50	178	3321
51	182	3322
52	185	3322
53	189	3320
54	192	3315
55	196	3316
56	200	3309
57	203	3305
58	206	3295
59	210	3296
60	213	3285
61	217	3285
62	220	3275
63	223	3271
64	226	3265
65	230	3267
66	233	3258
67	237	3252
68	240	3242
69	244	3241
70	247	3236
71	250	3232
72	253	3222
73	257	3221
74	262	3234
75	266	3234
76	269	3230
77	272	3223
78	276	3223
79	279	3218
80	283	3216
81	286	3207
82	290	3207
83	293	3201
84	297	3197
85	300	3189
86	304	3191
87	307	3184
88	310	3180
89	313	3173
90	317	3168
91	320	3163
92	324	3161
93	327	3152
94	330	3151
95	334	3147
96	337	3145
97	340	3137
98	344	3137
99	347	3130
100	351	3127
101	354	3121
102	358	3119
103	361	3111
104	364	3105
105	367	3097
106	370	3093
107	373	3088
108	377	3082
109	380	3075
110	383	3073
111	386	3067
112	390	3067
113	393	3061
114	397	3056
115	400	3050
116	403	3046
117	406	3040
118	410	3035
119	413	3030
120	416	3027
121	419	3019
122	422	3015
123	426	3009
124	429	3006
125	432	3002
126	435	2996
127	439	2990
128	442	2987
129	445	2982
130	449	2979
131	452	2974
132	455	2970
133	458	2965
134	462	2963
135	465	2958
136	469	2955
137	472	2950
138	475	2946
139	478	2941
140	482	2937
141	485	2932
142	488	2927
143	491	2922
144	495	2919
145	498	2914
146	501	2909
147	505	2909
148	509	2907
149	512	2902
150	515	2896
151	518	2891
152	522	2890
153	524	2883
154	528	2878
155	531	2872
156	534	2869
157	537	2862
158	540	2857
159	542	2850
160	545	2843
161	548	2838
162	552	2836
163	555	2831
164	558	2828
165	561	2822
166	565	2819
167	568	2816
168	572	2813
169	575	2807
170	578	2804
171	581	2799
172	584	2796
173	587	2786
174	590	2783
175	593	2778
176	597	2775
177	599	2769
178	603	2767
179	605	2760
180	608	2755
181	612	2752
182	615	2748
183	618	2742
184	621	2739
185	624	2734
186	627	2728
187	630	2722
188	634	2720
189	637	2716
190	639	2710
191	642	2704
192	645	2699
193	648	2693
194	651	2687
195	654	2685
196	657	2679
197	660	2676
198	664	2675
199	668	2672
200	670	2667
201	674	2664
202	677	2661
203	680	2656
204	684	2653
205	687	2650
206	690	2646
207	693	2642
208	697	2638
209	700	2634
210	703	2629
211	706	2624
212	709	2621
213	712	2617
214	714	2609
215	717	2604
216	720	2598
217	722	2591
218	725	2588
219	728	2583
220	732	2581
221	735	2578
222	738	2573
223	741	2568
224	744	2565
225	747	2559
226	750	2555
227	753	2550
228	756	2548
229	759	2543
230	763	2540
231	766	2536
232	769	2532
233	772	2528
234	775	2526
235	779	2522
236	782	2520
237	785	2515
238	788	2510
239	791	2507
240	794	2503
241	797	2498
242	801	2496
243	803	2489
244	806	2486
245	809	2482
246	812	2478
247	815	2472
248	818	2468
249	821	2465
250	824	2459
251	827	2455
252	829	2447
253	832	2444
254	835	2440
255	838	2435
256	840	2431
257	843	2426
258	846	2421
259	850	2419
260	853	2417
261	856	2412
